Date,Close,High,Low,Open,Volume
2001-12-19,488.5510559082031,499.496191580281,487.5560435743779,498.0783111507267,5143962
2001-12-20,482.5809631347656,490.5410614957514,479.49641894681054,489.5460492006282,1117444
2001-12-21,486.80975341796875,496.5111230568552,472.1333224258072,475.11835923777227,1069412
2001-12-24,499.9936828613281,502.48121362183224,483.0784736899001,489.5460536672108,46839
2001-12-25,499.9936828613281,499.9936828613281,499.9936828613281,499.9936828613281,0
2001-12-26,499.9936828613281,499.9936828613281,499.9936828613281,499.9936828613281,0
2001-12-27,503.9737243652344,503.9737243652344,475.6158741294808,478.60091099640226,275857
2001-12-28,498.5010681152344,499.4960802272408,488.5509469951698,492.5309954431956,370836
2001-12-31,494.5211486816406,494.5211486816406,486.56104970889794,487.55606208049073,280228
2002-01-01,501.4862365722656,501.4862365722656,501.4862365722656,501.4862365722656,0
2002-01-02,485.06854248046875,497.50619741586536,485.06854248046875,497.50619741586536,1062145
2002-01-03,493.0285949707031,502.48121182685185,488.5510396177906,488.5510396177906,868971
2002-01-04,494.5211486816406,498.9987043538084,489.54608682367643,494.5211486816406,535093
2002-01-07,492.0336608886719,506.4613415416258,481.0885238416033,506.4613415416258,398046
2002-01-08,492.5310974121094,496.0136405251243,484.57099886807526,491.038578935103,1076353
2002-01-09,487.5560302734375,499.99368410694353,480.09343797333383,487.5560302734375,587068
2002-01-10,484.0734558105469,487.67539526870564,481.0884190840687,487.5559986581047,690769
2002-01-11,479.09844970703125,485.06852384668275,469.14832614094547,483.5760053117699,1561591
2002-01-14,482.08349609375,484.57102703334624,475.11840946288055,479.09845896623455,992036
2002-01-15,488.0534973144531,488.0534973144531,478.6008811585157,480.59090561239725,930337
2002-01-16,475.6890563964844,481.1624660412138,468.2253159718534,478.1769698713614,1585036
2002-01-17,473.20123291015625,497.5827896005849,468.722987803751,497.5827896005849,1993369
2002-01-18,467.7277526855469,480.66490329174286,467.7277526855469,474.1963279886449,1283033
2002-01-21,482.1576843261719,482.1576843261719,469.757930710683,469.757930710683,877717
2002-01-22,476.1866455078125,479.6697244195729,473.69873199941225,475.1914801044524,1559532
2002-01-23,476.6842956542969,479.1722095147055,473.6987990218065,475.6891301101334,929246
2002-01-24,476.6842956542969,481.66012337511415,468.2253885289075,474.69396456596996,1340499
2002-01-25,474.1964111328125,482.65531878156156,472.20607992134217,474.1964111328125,527050
2002-01-28,474.1964111328125,484.6456499930319,468.22541749840144,468.22541749840144,1139151
2002-01-29,472.7034606933594,486.63577321905836,469.2203825619346,479.8686621403028,1483760
2002-01-30,474.1964111328125,476.68432514715045,466.13556365234876,475.6891595414153,920143
2002-01-31,473.69879150390625,484.64561231597133,465.23988451276506,481.1625329666779,285487
2002-02-01,481.1625061035156,491.21368345290216,472.70359958463274,472.70359958463274,3779268
2002-02-04,485.6407775878906,485.6407775878906,471.21087743415205,471.21087743415205,331208
2002-02-05,484.1481018066406,495.59250709086746,474.1964450377477,477.67952490686025,442009
2002-02-06,479.6697998046875,487.6311242827736,477.679468685166,485.4417479032829,802373
2002-02-07,479.6697998046875,484.64562760349133,471.70847532660144,473.69880644612294,933613
2002-02-08,478.6746520996094,483.65048008401277,478.6746520996094,481.36161135920474,380029
2002-02-11,483.65032958984375,483.65032958984375,476.1865899356795,476.1865899356795,685931
2002-02-12,480.6648254394531,483.6503212496361,476.1865817241787,482.65515597957506,727786
2002-02-13,496.58758544921875,496.58758544921875,478.8736516633752,478.8736516633752,2860782
2002-02-14,491.61175537109375,495.5924173579042,491.61175537109375,495.5924173579042,0
2002-02-15,496.58758544921875,500.5682474568277,488.12867868304966,491.6117579397075,903087
2002-02-18,491.61175537109375,497.5827483513094,490.61658987439114,495.2938798569097,998254
2002-02-19,488.62615966796875,495.5923167304449,475.6890108376559,491.6116555518871,984039
2002-02-20,485.6407775878906,499.0755122137851,484.6456120600466,493.6021018106429,804517
2002-02-21,491.1141052246094,499.39388830970745,485.6406957438893,493.9692227377706,835232
2002-02-22,492.60699462890625,494.5973259203362,489.72102033034196,491.91036652888766,705346
2002-02-25,494.5971984863281,496.58752926494515,491.6117023184026,492.6068677077111,1249782
2002-02-26,488.1286315917969,495.0947894330661,486.63588348295343,493.21792108332403,1513771
2002-02-27,498.080322265625,500.0706532237294,489.6214156936813,495.0948258284684,2013797
2002-02-28,512.0125122070312,519.4762514520318,497.5826163333637,499.57294679869716,1987864
2002-03-01,514.9981079101562,522.959431317463,513.5053597712863,513.5053597712863,2718244
